%	
1	Values_SE
2	Values_CO
3	Values_TR
4	Values_BE
5	Values_UN
6	Values_SD
7	Values_ST
8	Values_HE
9	Values_AC
10	Values_PO
%
afraid	1
alarm	1
alert	1
armor	1
attention	1
barrier	1
beware	1
calculation	1
calm	1
calmness	1
camouflage	1
careful	1
catastrophic	1
caution	1
cautious	1
clean	1
consequences	1
crisis	1
custody	1
damages	1
danger	1
dangerous	1
defend	1
defending	1
defense	1
defenses	1
defensive	1
disease	1
enemies	1
foresight	1
guarantee	1
guard	1
guardian	1
guarding	1
harm	1
harmless	1
health	1
heed	1
hiding	1
insurance	1
menace	1
neat	1
order	1
precautions	1
preserving	1
prevent	1
privacy	1
prudent	1
quiet	1
refuge	1
retreat	1
safe	1
safely	1
safer	1
safety	1
salvation	1
save	1
scare	1
scared	1
secure	1
secured	1
securely	1
securing	1
security	1
shelter	1
shield	1
silence	1
stability	1
stable	1
stealth	1
survival	1
surviving	1
threat	1
threaten	1
threatened	1
threatening	1
threats	1
tidy	1
tranquility	1
trouble	1
violence	1
ward	1
warn	1
warned	1
warning	1
abide	2
accord	2
accordance	2
adequately	2
appropriate	2
appropriately	2
authorities	2
authorization	2
authorized	2
avoid	2
avoided	2
avoiding	2
certainty	2
code	2
combination	2
commitment	2
commitments	2
committed	2
committing	2
compliance	2
comply	2
composure	2
concession	2
confines	2
consensus	2
consent	2
conservation	2
conservative	2
convention	2
conventional	2
conventions	2
courtesy	2
covenant	2
credibility	2
decency	2
decree	2
directions	2
discipline	2
duties	2
duty	2
entity	2
establishment	2
etiquette	2
familiar	2
fasting	2
flexibility	2
forbidden	2
formally	2
hesitate	2
hierarchy	2
honestly	2
humble	2
humility	2
identity	2
imposing	2
improper	2
inappropriate	2
instructed	2
instruction	2
integrity	2
law	2
laws	2
legal	2
legislation	2
legitimate	2
mainstream	2
maintaining	2
measure	2
modest	2
modesty	2
must	2
obedience	2
obey	2
obligated	2
obligation	2
obliged	2
official	2
orders	2
organization	2
outrageous	2
patience	2
periodic	2
permitting	2
policies	2
policy	2
polite	2
prescription	2
preserved	2
procedure	2
punishment	2
reason	2
reasonable	2
regularly	2
regulation	2
regulations	2
repetitive	2
required	2
requirement	2
reserve	2
resignation	2
resolution	2
respect	2
respected	2
respects	2
restraint	2
restricted	2
restrictions	2
restrictive	2
reverence	2
routinely	2
rule	2
rules	2
ruling	2
served	2
shame	2
shyness	2
similarity	2
standards	2
structure	2
subordinate	2
suited	2
system	2
trust	2
trusted	2
unison	2
violate	2
violated	2
warrant	2
withholding	2
accustomed	3
allah	3
almighty	3
ancestors	3
ancestry	3
angel	3
angels	3
atheist	3
awe	3
belief	3
believers	3
bible	3
bless	3
blessed	3
blessing	3
blessings	3
brood	3
catholic	3
ceremonies	3
ceremony	3
chapel	3
christ	3
christianity	3
christians	3
church	3
churches	3
clan	3
commandments	3
congregation	3
conscience	3
corrupted	3
damned	3
descendants	3
devil	3
devout	3
divinity	3
ethical	3
ethics	3
faith	3
faithful	3
folk	3
folklore	3
generations	3
god	3
grace	3
habit	3
habits	3
heaven	3
heavenly	3
heavens	3
heritage	3
historical	3
holiness	3
holy	3
honoring	3
inheritance	3
innocence	3
institution	3
islam	3
jesus	3
legacy	3
marriage	3
marriages	3
married	3
missionary	3
mohammed	3
moral	3
morality	3
morals	3
mosque	3
muhammad	3
muslim	3
mystic	3
myth	3
origins	3
orthodox	3
prayer	3
praying	3
preaching	3
priest	3
prophet	3
protestant	3
providence	3
purity	3
qualms	3
relatives	3
religion	3
religions	3
religious	3
righteousness	3
rite	3
ritual	3
rituals	3
sacred	3
savior	3
scripture	3
sermon	3
sermons	3
service	3
siblings	3
sin	3
soul	3
theology	3
tradition	3
traditional	3
traditionally	3
traditions	3
virtue	3
worship	3
acquaintance	4
advice	4
affection	4
aid	4
ally	4
assist	4
assistance	4
association	4
backing	4
belonging	4
brotherhood	4
care	4
caring	4
closeness	4
communal	4
companion	4
companions	4
companionship	4
compassion	4
compassionate	4
concern	4
confidence	4
contribution	4
coop	4
cousin	4
delicate	4
dependable	4
empathy	4
encourage	4
encouraged	4
encouragement	4
encouraging	4
families	4
family	4
father	4
feeling	4
fidelity	4
fondness	4
forgive	4
forgiveness	4
forgiving	4
friend	4
friendly	4
friends	4
friendship	4
generosity	4
gentle	4
genuine	4
gift	4
goodness	4
goodwill	4
grandma	4
grandmother	4
grandparents	4
guidance	4
help	4
helpful	4
helping	4
honest	4
hospitality	4
husband	4
intimacy	4
kindly	4
kindness	4
love	4
loyal	4
loyalty	4
mom	4
mother	4
need	4
neighborhood	4
neighbors	4
nurture	4
parents	4
participation	4
pity	4
relationship	4
reliable	4
rely	4
responsibilities	4
responsibility	4
responsible	4
sincere	4
sorrow	4
support	4
supporting	4
supportive	4
sympathetic	4
sympathy	4
tenderness	4
thanked	4
treatment	4
trustworthy	4
warmth	4
wife	4
accept	5
acceptance	5
acknowledge	5
acknowledgement	5
acknowledging	5
address	5
aesthetic	5
agreement	5
amends	5
assortment	5
balance	5
balancing	5
beautiful	5
beautifully	5
beauty	5
charitable	5
climate	5
coalition	5
collaboration	5
communion	5
communities	5
community	5
company	5
complex	5
compromise	5
connection	5
cooperation	5
cooperative	5
coordinated	5
cruel	5
culture	5
decorum	5
democracy	5
democratic	5
democrats	5
discrimination	5
diverse	5
diversity	5
empowered	5
environment	5
environmental	5
equality	5
explanation	5
fair	5
fairness	5
fellowship	5
fusion	5
generous	5
graceful	5
greed	5
greedy	5
humanity	5
injustice	5
interpretation	5
justice	5
liberal	5
liberation	5
liberties	5
liberty	5
likeness	5
mankind	5
meaning	5
meaningful	5
mercy	5
natural	5
nature	5
peace	5
peaceful	5
protect	5
protected	5
protecting	5
protection	5
protects	5
realization	5
rights	5
sacrifice	5
serenity	5
share	5
sharing	5
sincerity	5
social	5
socially	5
society	5
solidarity	5
spiritual	5
